,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,geometry,index_right,PB_NAME,PB_NUM,WATER_TYPE,AREA_KM2,UW_Wrack,,,,
0,64478,13-01-07,13-01-07,,Pacific Time (US & Canada),2991,sea-kangaroo,,2012-04-11 21:31:30 UTC,2023-02-08 12:47:18 UTC,research,CC-BY,http://www.inaturalist.org/observations/64478,https://inaturalist-open-data.s3.amazonaws.com/photos/98813/medium.JPG,,,,3,0,FALSE,,"Bondi Beach, New South Wales, Australia",-33.89632943,151.2749772,256,,,,256,,,FALSE,,,Ecklonia radiata,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.2749772455 -33.8963294331),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,W,Wrack,515,767,0.671447197
1,374943,11-08-13 6:41,11-08-13,2013-08-10 20:41:01 UTC,Brisbane,2991,sea-kangaroo,,2013-08-23 23:32:29 UTC,2023-02-08 12:50:17 UTC,research,CC-BY,http://www.inaturalist.org/observations/374943,https://inaturalist-open-data.s3.amazonaws.com/photos/468686/medium.JPG,,,,3,0,FALSE,,"Lennox Head, New South Wales, Australia",-28.794136,153.594614,96,,,,96,,,FALSE,,manual,Ecklonia radiata,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (153.594614 -28.794136),,,,,,W,Underwater,226,767,0.294654498
2,518817,22-12-13 15:46,22-12-13,2013-12-22 04:46:08 UTC,Sydney,2991,sea-kangaroo,,2014-02-03 06:04:44 UTC,2023-02-08 12:51:32 UTC,research,CC-BY,http://www.inaturalist.org/observations/518817,https://inaturalist-open-data.s3.amazonaws.com/photos/661046/medium.JPG,,"brown, yellow",,3,0,FALSE,,"Manly, New South Wales, Australia",-33.800505,151.294129,302,,,,302,,,FALSE,,manual,Ecklonia radiata,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.294129 -33.800505),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,W,Fish,22,767,0.028683181
3,1061742,Sat Nov 08 2014 08:50:22 GMT+1100 (GMT+11),08-11-14,2014-11-07 21:50:22 UTC,New Caledonia,1,kueda,Ken-ichi Ueda,2014-11-08 04:19:47 UTC,2023-02-08 12:54:11 UTC,research,CC0,http://www.inaturalist.org/observations/1061742,https://inaturalist-open-data.s3.amazonaws.com/photos/1330852/medium.jpg,,,,4,0,FALSE,3,"Mimosa Rocks National Park, AU-NS-BV, AU-NS, AU",-36.614092,150.029756,5,,,,5,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (150.029756 -36.614092),,,,,,W,,,,
4,1205771,18-01-15,18-01-15,,Central Time (US & Canada),9531,kucycads,Kenneth Bader,2015-02-01 04:41:12 UTC,2023-02-08 16:08:35 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1205771,https://inaturalist-open-data.s3.amazonaws.com/photos/1522808/medium.JPG,,,Ecklonia radiata?,1,0,FALSE,,"Royal Botanical Gardens, Sydney",-33.864307,151.217535,455,,,,455,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.217535 -33.864307),,,,,,U,,,,
5,1283028,08-03-15 15:16,08-03-15,2015-03-08 15:16:38 UTC,UTC,67825,benbeard71,Ben Beard,2015-03-09 09:01:33 UTC,2023-02-08 12:55:28 UTC,research,CC-BY,http://www.inaturalist.org/observations/1283028,https://static.inaturalist.org/photos/1608874/medium.JPG,,,,4,0,FALSE,,"Shoalhaven - Pt B, New South Wales, Australia",-35.04282833,150.6775167,,,,,,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (150.6775166667 -35.0428283333),33,Southeast Shelf Transition,37,Transitional Waters,59612.67573,W,,,,
6,1757912,27-10-14 12:52,27-10-14,2014-10-27 01:52:39 UTC,Sydney,2991,sea-kangaroo,,2015-07-14 22:52:01 UTC,2023-02-08 12:57:21 UTC,research,CC-BY,http://www.inaturalist.org/observations/1757912,https://inaturalist-open-data.s3.amazonaws.com/photos/2132424/medium.JPG,,"seaweed, brown",,4,0,FALSE,,"Bradleys Head, Sydney, New South Wales, Australia",-33.851528,151.247492,33,,,,33,,,FALSE,,manual,Ecklonia radiata,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.247492 -33.851528),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,W,,,,
7,2739717,27-02-16 16:33,27-02-16,2016-02-27 05:33:12 UTC,Sydney,2991,sea-kangaroo,,2016-03-03 05:21:47 UTC,2023-03-01 12:19:07 UTC,research,CC-BY,http://www.inaturalist.org/observations/2739717,https://inaturalist-open-data.s3.amazonaws.com/photos/3093448/medium.JPG,,"seaweed, brown, yellow",,3,0,FALSE,,"Nelson Bay, New South Wales, Australia",-32.714402,152.151718,34,,,,34,,,FALSE,,manual,Ecklonia radiata,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (152.151718 -32.714402),,,,,,W,,,,
8,2758692,18-02-16,18-02-16,,Pacific Time (US & Canada),27263,wendy5,Wendy Feltham,2016-03-08 19:44:28 UTC,2022-12-25 15:53:31 UTC,research,,http://www.inaturalist.org/observations/2758692,https://static.inaturalist.org/photos/3120824/medium.jpg,,kelp,"Here's one of three kelp species I couldn't ID by internet searching, and I think this is a Macrocystis. All three were growing on rocks of Binalong Bay.",4,0,FALSE,,"binalong bay, tasmania",-41.247434,148.313364,,,,,,,,FALSE,,,Ecklonia radiata,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (148.313364 -41.247434),38,Tasmanian Shelf Province,36,Cold Temperate Waters,32372.19251,W,,,,
9,2872276,03-04-16,03-04-16,,Eastern Time (US & Canada),13444,vicfazio3,Victor W Fazio III,2016-04-03 08:09:21 UTC,2023-03-01 12:19:08 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/2872276,https://inaturalist-open-data.s3.amazonaws.com/photos/3278747/medium.JPG,,,,3,0,FALSE,,Red Head Rainforest Reserve,-32.056964,152.547118,,,,,,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (152.547118 -32.056964),,,,,,U,,,,
