id,license,image_url,scientific_name,common_name,"field:diving, snorkeling, angling, shore etc",Usability,Kelp,Photo_Scale,Notes
104075260,CC-BY-NC,https://static.inaturalist.org/photos/174342504/large.jpeg,Brachaluteres jacksonianus,Southern Pygmy Leatherjacket,,Yes,Present,Close (<30cm),
104132818,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/174441216/large.jpeg,Trygonoptera testacea,Common Stingaree,,Yes,Absent,Mid (0.3-1m),Sand
104175027,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/174531099/large.jpeg,Acanthopagrus australis,Yellowfin Bream,,Blurry,,Mid (0.3-1m),
104175031,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/174531157/large.jpeg,Atypichthys strigatus,Australian Mado,,Yes,Present,Mid (0.3-1m),
104175059,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/174531300/large.jpeg,Enneapterygius atrogulare,Ringscale Threefin,,Yes,Absent,Close (<30cm),
104329672,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/174793477/large.jpg,Tetractenos glaber,Smooth Toadfish,,Land,,,
104389990,,https://static.inaturalist.org/photos/174904967/large.jpeg,Platycephalus fuscus,Dusky Flathead,,Yes,Absent,Mid (0.3-1m),Seagrass
104390681,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/174906322/large.jpg,Thalassoma lutescens,Green Moon Wrasse,diving or snorkeling or underwater,Yes,Absent,Close (<30cm),
104495093,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175100035/large.jpeg,Enoplosus armatus,Old Wife,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
104495102,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175100126/large.jpeg,Aplodactylus lophodon,Rock Cale,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
104495107,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175100170/large.jpeg,Ostorhinchus limenus,Sydney Cardinalfish,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
104495119,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175100461/large.jpeg,Labroides dimidiatus,Bluestreak Cleaner Wrasse,diving or snorkeling or underwater,Yes,Absent,Close (<30cm),
104495142,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175100693/large.jpeg,Ostorhinchus limenus,Sydney Cardinalfish,diving or snorkeling or underwater,Yes,Absent,Close (<30cm),Sand
104515530,,https://static.inaturalist.org/photos/175141648/large.jpg,Caranx sexfasciatus,Bigeye Trevally,,Water,Absent,Wide-angle (>1m),
104533203,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175175792/large.jpg,Chromis nitida,Yellowback Puller,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
104556559,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175221002/large.jpeg,Valenciennea immaculata,Immaculate Glidergoby,,Yes,Absent,Close (<30cm),Sand
104556565,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175221098/large.jpeg,Cochleoceps orientalis,Eastern Cleaner Clingfish,,Yes,Absent,Close (<30cm),
104556572,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175221197/large.jpeg,Enneapterygius atrogulare,Ringscale Threefin,,Yes,Absent,Close (<30cm),
104693631,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175482493/large.jpg,Notolabrus gymnogenis,Crimsonband Wrasse,,Land,,,
104801410,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175688986/large.jpeg,Orectolobus maculatus,Spotted Wobbegong,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
104801426,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175689260/large.jpeg,Acanthopagrus australis,Yellowfin Bream,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
104801433,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175689706/large.jpeg,Acanthopagrus australis,Yellowfin Bream,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
104802769,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175692357/large.jpeg,Trygonorrhina fasciata,Eastern Fiddler Ray,,Yes,Absent,Mid (0.3-1m),
104805072,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/175696235/large.jpg,Atypichthys strigatus,Australian Mado,diving or snorkeling or underwater,Yes,Present,Wide-angle (>1m),
105010557,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176089788/large.jpeg,Trachinops taeniatus,Eastern Hulafish,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
105010560,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176089846/large.jpeg,Trachurus novaezelandiae,Yellowtail Scad,diving or snorkeling or underwater,Blurry,,,
105015030,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176098599/large.jpg,Acanthistius ocellatus,Eastern Wirrah,,Land,,,
105082420,CC-BY-NC,https://static.inaturalist.org/photos/176228790/large.jpeg,Brachaluteres jacksonianus,Southern Pygmy Leatherjacket,,Yes,Absent,Close (<30cm),
105091796,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176246522/large.jpeg,Upeneichthys lineatus,Bluestriped Goatfish,,Yes,Absent,Mid (0.3-1m),
105091807,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176246619/large.jpeg,Rhabdosargus sarba,Tarwhine,,Yes,Absent,Wide-angle (>1m),
105092357,CC-BY-NC,https://static.inaturalist.org/photos/176248711/large.jpeg,Acanthopagrus australis,Yellowfin Bream,,Yes,Absent,Mid (0.3-1m),
105092575,CC-BY-NC,https://static.inaturalist.org/photos/176249209/large.jpeg,Trachinops taeniatus,Eastern Hulafish,,Yes,Present,Mid (0.3-1m),Seagrass
105295716,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176641106/large.jpg,Atypichthys strigatus,Australian Mado,,Yes,Absent,Close (<30cm),
105299372,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176647512/large.jpeg,Brachaluteres jacksonianus,Southern Pygmy Leatherjacket,,Yes,Absent,Close (<30cm),
105299382,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176647584/large.jpeg,Ophthalmolepis lineolata,Southern Maori Wrasse,,Blurry,,Mid (0.3-1m),
105304081,,https://static.inaturalist.org/photos/176658116/large.jpg,Carcharhinus obscurus,Dusky Whaler,,Land,,,
105305186,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176660085/large.jpg,Trygonorrhina dumerilii,Southern Fiddler Ray,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
105306572,,https://static.inaturalist.org/photos/176662916/large.jpg,Neoodax balteatus,Little Weed Whiting,diving or snorkeling or underwater,Yes,,Mid (0.3-1m),Sand
105335204,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176715497/large.jpeg,Vincentia novaehollandiae,Eastern Gobbleguts,,Yes,Absent,Close (<30cm),
105402151,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176842172/large.jpg,Ophthalmolepis lineolata,Southern Maori Wrasse,,Yes,Present,Mid (0.3-1m),
105467253,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176964409/large.jpeg,Trygonoptera testacea,Common Stingaree,,Yes,Absent,Mid (0.3-1m),1030-2 June
105467258,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176964431/large.jpeg,Mecaenichthys immaculatus,Immaculate Damsel,,Yes,Absent,Mid (0.3-1m),
105467261,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176964448/large.jpeg,Cleidopus gloriamaris,Australian Pineapplefish,,Yes,Absent,Close (<30cm),
105467270,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/176964508/large.jpeg,Morwong fuscus,Red Morwong,,Yes,Absent,Mid (0.3-1m),
105492973,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177014307/large.jpg,Canthigaster callisterna,Clown Toby,diving or snorkeling or underwater,Yes,Absent,Close (<30cm),
105493599,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177015270/large.jpeg,Scorpis lineolata,Silver Sweep,,Yes,Present,Wide-angle (>1m),
105515777,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177057679/large.jpg,Brachaelurus waddi,Blind Shark,diving or snorkeling or underwater,Yes,Present,Mid (0.3-1m),
105515784,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177057730/large.jpg,Chrysophrys auratus,Australasian Snapper,diving or snorkeling or underwater,Blurry,,Wide-angle (>1m),
105515795,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177057871/large.jpg,Abudefduf sordidus,Blackspot Sergeant,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
105595366,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177215920/large.jpg,Phyllopteryx taeniolatus,Common Sea Dragon,diving or snorkeling or underwater,Yes,Present,Mid (0.3-1m),
105595998,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177209789/large.jpeg,Enneapterygius atrogulare,Ringscale Threefin,,Yes,Absent,Close (<30cm),
105604288,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177225266/large.jpg,Hippocampus abdominalis,Bigbelly Seahorse,diving or snorkeling or underwater,Yes,Absent,Close (<30cm),
105604291,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177225299/large.jpg,Abudefduf vaigiensis,Indo-Pacific Sergeant Major,diving or snorkeling or underwater,Blurry,,Wide-angle (>1m),
105604292,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177225305/large.jpg,Acanthurus nigrofuscus,Dusky Surgeonfish,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
105610954,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/177237448/large.jpeg,Trygonorrhina fasciata,Eastern Fiddler Ray,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
105641512,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177294842/large.jpeg,Trygonorrhina fasciata,Eastern Fiddler Ray,diving or snorkeling or underwater,Yes,Present,Wide-angle (>1m),*not great image - difficult to ID kelp
105693021,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177392555/large.jpeg,Chaetodon guentheri,Gunther's Butterflyfish,,Yes,Absent,Mid (0.3-1m),
105701416,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177409211/large.jpeg,Parablennius intermedius,Horned Blenny,diving or snorkeling or underwater,Yes,Absent,Close (<30cm),
105701419,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177409255/large.jpeg,Bathygobius krefftii,Krefft's Frillgoby,diving or snorkeling or underwater,Yes,,Close (<30cm),Sand
105702351,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177412671/large.jpg,Schuettea scalaripinnis,Eastern Pomfred,,Yes,Absent,Wide-angle (>1m),
105702765,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177412982/large.jpeg,Trygonorrhina fasciata,Eastern Fiddler Ray,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
105703896,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177414546/large.jpeg,Latropiscis purpurissatus,Sergeant Baker,,Yes,Absent,Mid (0.3-1m),
105717741,,https://static.inaturalist.org/photos/177442846/large.jpg,Dinolestes lewini,Longfin Pike,diving or snorkeling or underwater,Dark,,,
105753366,,https://static.inaturalist.org/photos/177510857/large.jpg,Plectroglyphidodon johnstonianus,Blue-eye Damsel,diving or snorkeling or underwater,Yes,Absent,Close (<30cm),
105801880,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177603849/large.jpg,Thalassoma lutescens,Green Moon Wrasse,diving or snorkeling or underwater,Yes,Absent,Mid (0.3-1m),
105825487,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/177650793/large.jpg,Pateobatis fai,Pink Whipray,,Yes,Absent,Wide-angle (>1m),
105826423,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177651868/large.jpg,Enoplosus armatus,Old Wife,,Yes,Absent,Mid (0.3-1m),
105826427,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177651903/large.jpg,Upeneichthys lineatus,Bluestriped Goatfish,,Yes,Absent,Mid (0.3-1m),
105826428,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177651908/large.jpg,Parma microlepis,White-ear,,Yes,Absent,Mid (0.3-1m),
105826430,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177651956/large.jpg,Siganus fuscescens,Black Rabbitfish,,Yes,Present,Mid (0.3-1m),
105826437,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177652017/large.jpg,Valenciennea immaculata,Immaculate Glidergoby,,Yes,Absent,Mid (0.3-1m),Sand
105828259,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/177655768/large.jpeg,Enoplosus armatus,Old Wife,diving or snorkeling or underwater,Yes,Present,Mid (0.3-1m),Mostly sand?
