id,latitude,kelp,
5104549,-43.184652,0,
5104553,-43.184652,0,"Similar, skinny"
5104555,-43.184652,0,
5104556,-43.184652,1,
5104560,-43.184652,0,
5118303,-42.97190498,0,
5118366,-42.97190498,0,duplicate
5120755,-43.050827,0,
5120757,-43.050827,1,? Dark - unclear
5120758,-43.050827,1,
5120761,-43.050827,0,
5139513,-43.082931,1,
5654578,-43.09603082,1,
5655177,-43.06445707,1,
6352508,-41.23986918,0,
9548379,-42.99686432,0,
9726937,-43.12622161,0,
9761013,-42.96811164,0,
9790228,-43.07860669,0,
9808730,-43.07841777,0,
9826110,-43.07876257,0,
9833481,-43.0748607,1,? Partial
9833484,-43.07449936,0,
9833486,-43.07616079,0,
9833487,-43.07424858,0,
9833489,-43.07539278,0,
9833490,-43.07562789,0,
9833591,-43.07550249,0,
9834347,-43.04843972,0,
9889509,-42.89069647,0,
9889515,-42.88951738,0,
9948760,-43.05869782,0,
9948768,-43.05869782,0,
9955688,-42.9846212,1,? Blurry
10002331,-43.0073304,0,
10002332,-43.0073304,0,
10002334,-43.0073304,0,
10002336,-43.0073304,0,
10002470,-43.07785354,0,
10052983,-43.07841776,0,
10052985,-43.07841776,0,
10052989,-43.07841776,0,
10065136,-42.95213509,0,
10065141,-42.95213509,0,
10065148,-42.95213509,0,
10065150,-42.95213509,0,
10124149,-42.95240208,0,
10124152,-42.95240208,0,
10124154,-42.95240208,0,?Blurry
10124155,-42.95240208,0,
10136253,-42.89464233,0,
10136254,-42.89464233,0,
10136257,-42.89464233,0,
10198330,-43.00703226,0,
10198331,-43.00703226,0,
10200046,-41.23738254,0,
10270732,-42.58206326,0,
12152806,-43.06252317,1,
12152808,-43.06252317,0,
12152810,-43.06252317,0,
12183645,-41.86900157,0,
12183655,-41.86900157,1,
12183657,-41.86900157,0,?Dark
12183658,-41.86900157,0,
12183659,-41.86900157,0,
12183660,-41.86900157,0,
12183661,-41.86900157,0,
12183662,-41.86900157,0,
12183663,-41.86900157,0,
12183669,-41.86900157,0,
12183670,-41.86900157,0,
12183675,-41.86900157,0,
12183680,-41.86900157,0,
12228031,-41.86561394,0,
19584308,-41.80132221,0,
35037515,-42.96266526,0,
36716797,-43.05847399,0,
36717556,-43.05808078,0,
36717574,-43.05817826,0,
36718339,-43.00603962,0,holdfast
36748730,-43.0151178,0,?Too smooth?
47093118,-43.058517,0,
47096909,-40.23049804,0,
47096914,-40.230716,0,
47238241,-43.14115358,0,
61843116,-43.05169325,0,
63073998,-43.06293421,0,
64845870,-42.94073646,0,
64845871,-42.94073681,0,
67077282,-43.00917446,0,
67124902,-42.94581274,0,
67124906,-42.86121956,0,
67124908,-42.95860862,0,
67242709,-43.05850818,1,
67242714,-43.05850818,1,
67355546,-43.00115742,0,
67356033,-42.98155819,1,
67445776,-43.28046859,0,
67927698,-43.23263282,0,
69836113,-42.98430245,0,
70245786,-42.94101846,1,
70245787,-42.94101846,1,
70245792,-42.94101846,0,
71198156,-43.0588407,1,
71198159,-43.0588407,1,
71198161,-43.0588407,1,
71198164,-43.0588407,0,
71474025,-42.05664496,0,? Too skinny
71604439,-42.97280399,0,
